id,prompt,llama_response,qwen_response,mistral_response,agreement_score
309,Example prompt 309,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.33
310,Example prompt 310,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.718
311,Example prompt 311,Paris is the capital of France.,Different answer,Alternative response,0.06
312,Example prompt 312,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.871
313,Example prompt 313,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.792
314,Example prompt 314,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.79
315,Example prompt 315,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.753
316,Example prompt 316,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.53
317,Example prompt 317,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.328
318,Example prompt 318,Paris is the capital of France.,Different answer,Alternative response,0.107
319,Example prompt 319,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.219
320,Example prompt 320,Paris is the capital of France.,Different answer,Alternative response,0.104
321,Example prompt 321,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.626
322,Example prompt 322,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.487
323,Example prompt 323,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.885
324,Example prompt 324,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.686
325,Example prompt 325,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.474
326,Example prompt 326,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.945
327,Example prompt 327,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.354
328,Example prompt 328,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.96
329,Example prompt 329,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.881
330,Example prompt 330,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.246
331,Example prompt 331,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.669
332,Example prompt 332,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.348
333,Example prompt 333,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.265
334,Example prompt 334,Paris is the capital of France.,Different answer,Alternative response,0.125
335,Example prompt 335,Water boils at 100°C.,Different answer,Alternative response,0.179
336,Example prompt 336,The Earth orbits the Sun.,Different answer,Alternative response,0.184
337,Example prompt 337,Water boils at 100°C.,Different answer,Alternative response,0.082
338,Example prompt 338,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.334
339,Example prompt 339,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.399
340,Example prompt 340,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.615
341,Example prompt 341,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.322
342,Example prompt 342,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.338
343,Example prompt 343,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.44
344,Example prompt 344,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.821
345,Example prompt 345,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.937
346,Example prompt 346,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.649
347,Example prompt 347,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.966
348,Example prompt 348,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.971
349,Example prompt 349,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.933
350,Example prompt 350,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.298
351,Example prompt 351,The Earth orbits the Sun.,Different answer,Alternative response,0.13
352,Example prompt 352,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.851
353,Example prompt 353,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.826
354,Example prompt 354,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.449
355,Example prompt 355,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.532
356,Example prompt 356,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.96
357,Example prompt 357,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.774
358,Example prompt 358,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.895
359,Example prompt 359,Paris is the capital of France.,Different answer,Alternative response,0.084
360,Example prompt 360,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.926
361,Example prompt 361,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.209
362,Example prompt 362,Paris is the capital of France.,Different answer,Alternative response,0.091
363,Example prompt 363,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.778
364,Example prompt 364,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.33
365,Example prompt 365,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.737
366,Example prompt 366,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.275
367,Example prompt 367,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.866
368,Example prompt 368,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.766
369,Example prompt 369,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.391
370,Example prompt 370,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.62
371,Example prompt 371,Water boils at 100°C.,Different answer,Alternative response,0.125
372,Example prompt 372,Water boils at 100°C.,Different answer,Alternative response,0.127
373,Example prompt 373,The Earth orbits the Sun.,Different answer,Alternative response,0.008
374,Example prompt 374,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.721
375,Example prompt 375,Paris is the capital of France.,Different answer,Alternative response,0.129
376,Example prompt 376,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.986
377,Example prompt 377,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.605
378,Example prompt 378,The Earth orbits the Sun.,Different answer,Alternative response,0.082
379,Example prompt 379,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.802
380,Example prompt 380,The Earth orbits the Sun.,Different answer,Alternative response,0.126
381,Example prompt 381,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.468
382,Example prompt 382,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.406
383,Example prompt 383,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.296
384,Example prompt 384,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.249
385,Example prompt 385,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.711
386,Example prompt 386,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.202
387,Example prompt 387,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.416
388,Example prompt 388,Paris is the capital of France.,Different answer,Alternative response,0.085
389,Example prompt 389,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.632
390,Example prompt 390,The Earth orbits the Sun.,Different answer,Alternative response,0.083
391,Example prompt 391,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.688
392,Example prompt 392,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.71
393,Example prompt 393,The Earth orbits the Sun.,Different answer,Alternative response,0.101
394,Example prompt 394,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.773
395,Example prompt 395,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.605
396,Example prompt 396,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.914
397,Example prompt 397,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.613
398,Example prompt 398,The Earth orbits the Sun.,Different answer,Alternative response,0.124
399,Example prompt 399,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.588
400,Example prompt 400,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.575
401,Example prompt 401,The Earth orbits the Sun.,Different answer,Alternative response,0.087
402,Example prompt 402,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.396
403,Example prompt 403,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.451
404,Example prompt 404,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.84
405,Example prompt 405,Paris is the capital of France.,Different answer,Alternative response,0.056
406,Example prompt 406,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.586
407,Example prompt 407,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.728
408,Example prompt 408,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.977
409,Example prompt 409,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.338
410,Example prompt 410,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.266
411,Example prompt 411,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.777
412,Example prompt 412,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.275
413,Example prompt 413,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.202
414,Example prompt 414,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.852
415,Example prompt 415,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.899
416,Example prompt 416,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.758
417,Example prompt 417,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.487
418,Example prompt 418,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.679
419,Example prompt 419,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.973
420,Example prompt 420,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.809
421,Example prompt 421,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.978
422,Example prompt 422,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.458
423,Example prompt 423,Paris is the capital of France.,Different answer,Alternative response,0.103
424,Example prompt 424,Paris is the capital of France.,Different answer,Alternative response,0.121
425,Example prompt 425,Water boils at 100°C.,Different answer,Alternative response,0.18
426,Example prompt 426,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.349
427,Example prompt 427,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.455
428,Example prompt 428,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.665
429,Example prompt 429,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.868
