id,claim,claim_type
666,If A>B and B>C then A>C.,LOGICAL
667,The company was founded in 2010.,TEMPORAL
668,This movie is fantastic.,OPINION
669,Python is the best language.,OPINION
670,The Earth is 149.6 million km from the Sun.,NUMERIC
671,Water freezes at 0°C.,FACTUAL
672,This movie is fantastic.,OPINION
673,India became independent in 1947.,TEMPORAL
674,India became independent in 1947.,TEMPORAL
675,If A>B and B>C then A>C.,LOGICAL
676,The Earth is 149.6 million km from the Sun.,NUMERIC
677,Mount Everest is the tallest mountain.,FACTUAL
678,The company was founded in 2010.,TEMPORAL
679,India became independent in 1947.,TEMPORAL
680,If A>B and B>C then A>C.,LOGICAL
681,15 + 27 = 42.,NUMERIC
682,All mammals are animals.,LOGICAL
683,A triangle has 3 sides.,NUMERIC
684,AI is the greatest invention.,OPINION
685,Water freezes at 0°C.,FACTUAL
686,15 + 27 = 42.,NUMERIC
687,AI is the greatest invention.,OPINION
688,Mount Everest is the tallest mountain.,FACTUAL
689,A triangle has 3 sides.,NUMERIC
690,15 + 27 = 42.,NUMERIC
691,India became independent in 1947.,TEMPORAL
692,AI is the greatest invention.,OPINION
693,India became independent in 1947.,TEMPORAL
694,A triangle has 3 sides.,NUMERIC
695,India became independent in 1947.,TEMPORAL
696,Mount Everest is the tallest mountain.,FACTUAL
697,Paris is the capital of France.,FACTUAL
698,Water freezes at 0°C.,FACTUAL
699,A triangle has 3 sides.,NUMERIC
700,India became independent in 1947.,TEMPORAL
701,The Earth is 149.6 million km from the Sun.,NUMERIC
702,Paris is the capital of France.,FACTUAL
703,Every square is a rectangle.,LOGICAL
704,Mount Everest is the tallest mountain.,FACTUAL
705,Water freezes at 0°C.,FACTUAL
706,If A>B and B>C then A>C.,LOGICAL
707,Python is the best language.,OPINION
708,Water freezes at 0°C.,FACTUAL
709,AI is the greatest invention.,OPINION
710,AI is the greatest invention.,OPINION
711,This movie is fantastic.,OPINION
712,Every square is a rectangle.,LOGICAL
713,Paris is the capital of France.,FACTUAL
714,If A>B and B>C then A>C.,LOGICAL
715,Every square is a rectangle.,LOGICAL
716,Water freezes at 0°C.,FACTUAL
717,All mammals are animals.,LOGICAL
718,Water freezes at 0°C.,FACTUAL
719,AI is the greatest invention.,OPINION
720,Paris is the capital of France.,FACTUAL
721,The company was founded in 2010.,TEMPORAL
722,Python is the best language.,OPINION
723,The Olympics were held in Tokyo in 2021.,TEMPORAL
724,Python is the best language.,OPINION
725,The Olympics were held in Tokyo in 2021.,TEMPORAL
726,Python is the best language.,OPINION
727,All mammals are animals.,LOGICAL
728,Mount Everest is the tallest mountain.,FACTUAL
729,Python is the best language.,OPINION
730,The Earth is 149.6 million km from the Sun.,NUMERIC
731,All mammals are animals.,LOGICAL
732,If A>B and B>C then A>C.,LOGICAL
733,If A>B and B>C then A>C.,LOGICAL
734,Every square is a rectangle.,LOGICAL
735,Water freezes at 0°C.,FACTUAL
736,If A>B and B>C then A>C.,LOGICAL
737,The Olympics were held in Tokyo in 2021.,TEMPORAL
738,A triangle has 3 sides.,NUMERIC
739,All mammals are animals.,LOGICAL
740,Paris is the capital of France.,FACTUAL
741,Water freezes at 0°C.,FACTUAL
742,Mount Everest is the tallest mountain.,FACTUAL
743,India became independent in 1947.,TEMPORAL
744,AI is the greatest invention.,OPINION
745,Python is the best language.,OPINION
746,This movie is fantastic.,OPINION
747,Water freezes at 0°C.,FACTUAL
748,The company was founded in 2010.,TEMPORAL
749,Every square is a rectangle.,LOGICAL
750,Water freezes at 0°C.,FACTUAL
751,This movie is fantastic.,OPINION
752,India became independent in 1947.,TEMPORAL
753,Python is the best language.,OPINION
754,15 + 27 = 42.,NUMERIC
755,All mammals are animals.,LOGICAL
756,Water freezes at 0°C.,FACTUAL
757,This movie is fantastic.,OPINION
758,Water freezes at 0°C.,FACTUAL
759,AI is the greatest invention.,OPINION
760,Every square is a rectangle.,LOGICAL
761,Python is the best language.,OPINION
762,AI is the greatest invention.,OPINION
763,Python is the best language.,OPINION
764,India became independent in 1947.,TEMPORAL
765,The Earth is 149.6 million km from the Sun.,NUMERIC
766,The Olympics were held in Tokyo in 2021.,TEMPORAL
767,India became independent in 1947.,TEMPORAL
768,15 + 27 = 42.,NUMERIC
769,Python is the best language.,OPINION
770,All mammals are animals.,LOGICAL
771,A triangle has 3 sides.,NUMERIC
772,Paris is the capital of France.,FACTUAL
773,AI is the greatest invention.,OPINION
774,If A>B and B>C then A>C.,LOGICAL
775,If A>B and B>C then A>C.,LOGICAL
776,The Earth is 149.6 million km from the Sun.,NUMERIC
777,The company was founded in 2010.,TEMPORAL
778,The company was founded in 2010.,TEMPORAL
779,AI is the greatest invention.,OPINION
780,Paris is the capital of France.,FACTUAL
781,A triangle has 3 sides.,NUMERIC
782,Mount Everest is the tallest mountain.,FACTUAL
783,Water freezes at 0°C.,FACTUAL
784,Every square is a rectangle.,LOGICAL
785,If A>B and B>C then A>C.,LOGICAL
786,This movie is fantastic.,OPINION
787,If A>B and B>C then A>C.,LOGICAL
788,A triangle has 3 sides.,NUMERIC
789,Water freezes at 0°C.,FACTUAL
790,All mammals are animals.,LOGICAL
791,The company was founded in 2010.,TEMPORAL
792,This movie is fantastic.,OPINION
793,Python is the best language.,OPINION
794,India became independent in 1947.,TEMPORAL
795,The Earth is 149.6 million km from the Sun.,NUMERIC
796,AI is the greatest invention.,OPINION
797,Paris is the capital of France.,FACTUAL
798,India became independent in 1947.,TEMPORAL
799,The Earth is 149.6 million km from the Sun.,NUMERIC
800,The Olympics were held in Tokyo in 2021.,TEMPORAL
801,Paris is the capital of France.,FACTUAL
802,Every square is a rectangle.,LOGICAL
803,All mammals are animals.,LOGICAL
804,The Earth is 149.6 million km from the Sun.,NUMERIC
805,Python is the best language.,OPINION
806,A triangle has 3 sides.,NUMERIC
807,Python is the best language.,OPINION
808,India became independent in 1947.,TEMPORAL
809,Every square is a rectangle.,LOGICAL
810,Water freezes at 0°C.,FACTUAL
811,Water freezes at 0°C.,FACTUAL
812,Water freezes at 0°C.,FACTUAL
813,This movie is fantastic.,OPINION
814,This movie is fantastic.,OPINION
815,If A>B and B>C then A>C.,LOGICAL
816,Water freezes at 0°C.,FACTUAL
817,Water freezes at 0°C.,FACTUAL
818,A triangle has 3 sides.,NUMERIC
819,Every square is a rectangle.,LOGICAL
820,India became independent in 1947.,TEMPORAL
821,All mammals are animals.,LOGICAL
822,The Earth is 149.6 million km from the Sun.,NUMERIC
823,This movie is fantastic.,OPINION
824,AI is the greatest invention.,OPINION
825,If A>B and B>C then A>C.,LOGICAL
826,India became independent in 1947.,TEMPORAL
827,India became independent in 1947.,TEMPORAL
828,Mount Everest is the tallest mountain.,FACTUAL
829,Mount Everest is the tallest mountain.,FACTUAL
830,AI is the greatest invention.,OPINION
831,The Olympics were held in Tokyo in 2021.,TEMPORAL
832,15 + 27 = 42.,NUMERIC
833,Paris is the capital of France.,FACTUAL
834,India became independent in 1947.,TEMPORAL
835,A triangle has 3 sides.,NUMERIC
836,A triangle has 3 sides.,NUMERIC
837,Paris is the capital of France.,FACTUAL
838,If A>B and B>C then A>C.,LOGICAL
839,Python is the best language.,OPINION
840,Every square is a rectangle.,LOGICAL
841,Python is the best language.,OPINION
842,This movie is fantastic.,OPINION
843,India became independent in 1947.,TEMPORAL
844,All mammals are animals.,LOGICAL
845,If A>B and B>C then A>C.,LOGICAL
846,The Olympics were held in Tokyo in 2021.,TEMPORAL
847,AI is the greatest invention.,OPINION
848,The company was founded in 2010.,TEMPORAL
849,Water freezes at 0°C.,FACTUAL
850,If A>B and B>C then A>C.,LOGICAL
851,Paris is the capital of France.,FACTUAL
852,The Olympics were held in Tokyo in 2021.,TEMPORAL
853,Mount Everest is the tallest mountain.,FACTUAL
854,Mount Everest is the tallest mountain.,FACTUAL
855,Python is the best language.,OPINION
856,If A>B and B>C then A>C.,LOGICAL
857,Python is the best language.,OPINION
858,Water freezes at 0°C.,FACTUAL
859,Python is the best language.,OPINION
860,The Earth is 149.6 million km from the Sun.,NUMERIC
861,This movie is fantastic.,OPINION
862,AI is the greatest invention.,OPINION
863,Water freezes at 0°C.,FACTUAL
864,Water freezes at 0°C.,FACTUAL
865,Mount Everest is the tallest mountain.,FACTUAL
866,15 + 27 = 42.,NUMERIC
867,A triangle has 3 sides.,NUMERIC
868,If A>B and B>C then A>C.,LOGICAL
869,Python is the best language.,OPINION
870,AI is the greatest invention.,OPINION
871,The Olympics were held in Tokyo in 2021.,TEMPORAL
872,The Olympics were held in Tokyo in 2021.,TEMPORAL
873,If A>B and B>C then A>C.,LOGICAL
874,AI is the greatest invention.,OPINION
875,India became independent in 1947.,TEMPORAL
876,India became independent in 1947.,TEMPORAL
877,Python is the best language.,OPINION
878,If A>B and B>C then A>C.,LOGICAL
879,The company was founded in 2010.,TEMPORAL
880,AI is the greatest invention.,OPINION
881,India became independent in 1947.,TEMPORAL
882,Python is the best language.,OPINION
883,The Earth is 149.6 million km from the Sun.,NUMERIC
884,The company was founded in 2010.,TEMPORAL
885,All mammals are animals.,LOGICAL
886,Python is the best language.,OPINION
887,Water freezes at 0°C.,FACTUAL
888,This movie is fantastic.,OPINION
889,India became independent in 1947.,TEMPORAL
890,AI is the greatest invention.,OPINION
891,Every square is a rectangle.,LOGICAL
892,India became independent in 1947.,TEMPORAL
893,The Olympics were held in Tokyo in 2021.,TEMPORAL
894,15 + 27 = 42.,NUMERIC
895,The Olympics were held in Tokyo in 2021.,TEMPORAL
896,15 + 27 = 42.,NUMERIC
897,15 + 27 = 42.,NUMERIC
898,Water freezes at 0°C.,FACTUAL
899,Mount Everest is the tallest mountain.,FACTUAL
900,Python is the best language.,OPINION
901,AI is the greatest invention.,OPINION
902,The company was founded in 2010.,TEMPORAL
903,A triangle has 3 sides.,NUMERIC
904,All mammals are animals.,LOGICAL
905,15 + 27 = 42.,NUMERIC
906,AI is the greatest invention.,OPINION
907,All mammals are animals.,LOGICAL
908,If A>B and B>C then A>C.,LOGICAL
909,The Earth is 149.6 million km from the Sun.,NUMERIC
910,This movie is fantastic.,OPINION
911,All mammals are animals.,LOGICAL
912,AI is the greatest invention.,OPINION
913,The Olympics were held in Tokyo in 2021.,TEMPORAL
914,The Earth is 149.6 million km from the Sun.,NUMERIC
915,This movie is fantastic.,OPINION
916,If A>B and B>C then A>C.,LOGICAL
917,Every square is a rectangle.,LOGICAL
918,This movie is fantastic.,OPINION
919,15 + 27 = 42.,NUMERIC
920,AI is the greatest invention.,OPINION
921,India became independent in 1947.,TEMPORAL
922,If A>B and B>C then A>C.,LOGICAL
923,AI is the greatest invention.,OPINION
924,AI is the greatest invention.,OPINION
925,India became independent in 1947.,TEMPORAL
926,The Earth is 149.6 million km from the Sun.,NUMERIC
927,Every square is a rectangle.,LOGICAL
928,The Earth is 149.6 million km from the Sun.,NUMERIC
929,Paris is the capital of France.,FACTUAL
930,If A>B and B>C then A>C.,LOGICAL
931,Water freezes at 0°C.,FACTUAL
932,Water freezes at 0°C.,FACTUAL
933,This movie is fantastic.,OPINION
934,The Earth is 149.6 million km from the Sun.,NUMERIC
935,Water freezes at 0°C.,FACTUAL
936,15 + 27 = 42.,NUMERIC
937,India became independent in 1947.,TEMPORAL
938,India became independent in 1947.,TEMPORAL
939,15 + 27 = 42.,NUMERIC
940,The Olympics were held in Tokyo in 2021.,TEMPORAL
941,A triangle has 3 sides.,NUMERIC
942,If A>B and B>C then A>C.,LOGICAL
943,AI is the greatest invention.,OPINION
944,Paris is the capital of France.,FACTUAL
945,India became independent in 1947.,TEMPORAL
946,A triangle has 3 sides.,NUMERIC
947,Python is the best language.,OPINION
948,All mammals are animals.,LOGICAL
949,India became independent in 1947.,TEMPORAL
950,India became independent in 1947.,TEMPORAL
951,Paris is the capital of France.,FACTUAL
952,Every square is a rectangle.,LOGICAL
953,This movie is fantastic.,OPINION
954,Paris is the capital of France.,FACTUAL
955,Every square is a rectangle.,LOGICAL
956,AI is the greatest invention.,OPINION
957,Python is the best language.,OPINION
958,A triangle has 3 sides.,NUMERIC
959,The Earth is 149.6 million km from the Sun.,NUMERIC
960,All mammals are animals.,LOGICAL
961,This movie is fantastic.,OPINION
962,A triangle has 3 sides.,NUMERIC
963,All mammals are animals.,LOGICAL
964,Mount Everest is the tallest mountain.,FACTUAL
965,India became independent in 1947.,TEMPORAL
966,Python is the best language.,OPINION
967,Python is the best language.,OPINION
968,AI is the greatest invention.,OPINION
969,If A>B and B>C then A>C.,LOGICAL
970,Mount Everest is the tallest mountain.,FACTUAL
971,If A>B and B>C then A>C.,LOGICAL
972,The company was founded in 2010.,TEMPORAL
973,Water freezes at 0°C.,FACTUAL
974,Water freezes at 0°C.,FACTUAL
975,A triangle has 3 sides.,NUMERIC
976,Mount Everest is the tallest mountain.,FACTUAL
977,India became independent in 1947.,TEMPORAL
978,Water freezes at 0°C.,FACTUAL
979,This movie is fantastic.,OPINION
980,A triangle has 3 sides.,NUMERIC
981,Every square is a rectangle.,LOGICAL
982,Every square is a rectangle.,LOGICAL
983,15 + 27 = 42.,NUMERIC
984,Mount Everest is the tallest mountain.,FACTUAL
985,All mammals are animals.,LOGICAL
986,India became independent in 1947.,TEMPORAL
987,Paris is the capital of France.,FACTUAL
988,Water freezes at 0°C.,FACTUAL
989,The company was founded in 2010.,TEMPORAL
990,Every square is a rectangle.,LOGICAL
991,If A>B and B>C then A>C.,LOGICAL
992,Mount Everest is the tallest mountain.,FACTUAL
993,The Earth is 149.6 million km from the Sun.,NUMERIC
994,India became independent in 1947.,TEMPORAL
995,The Olympics were held in Tokyo in 2021.,TEMPORAL
996,Water freezes at 0°C.,FACTUAL
997,If A>B and B>C then A>C.,LOGICAL
998,If A>B and B>C then A>C.,LOGICAL
999,India became independent in 1947.,TEMPORAL
1000,Every square is a rectangle.,LOGICAL
1001,If A>B and B>C then A>C.,LOGICAL
1002,This movie is fantastic.,OPINION
1003,Mount Everest is the tallest mountain.,FACTUAL
1004,All mammals are animals.,LOGICAL
1005,Every square is a rectangle.,LOGICAL
1006,A triangle has 3 sides.,NUMERIC
1007,The Olympics were held in Tokyo in 2021.,TEMPORAL
1008,Paris is the capital of France.,FACTUAL
1009,The company was founded in 2010.,TEMPORAL
1010,The Olympics were held in Tokyo in 2021.,TEMPORAL
1011,Every square is a rectangle.,LOGICAL
1012,All mammals are animals.,LOGICAL
1013,If A>B and B>C then A>C.,LOGICAL
1014,All mammals are animals.,LOGICAL
1015,The company was founded in 2010.,TEMPORAL
1016,If A>B and B>C then A>C.,LOGICAL
1017,Paris is the capital of France.,FACTUAL
1018,If A>B and B>C then A>C.,LOGICAL
1019,Python is the best language.,OPINION
1020,15 + 27 = 42.,NUMERIC
1021,A triangle has 3 sides.,NUMERIC
1022,All mammals are animals.,LOGICAL
1023,15 + 27 = 42.,NUMERIC
1024,A triangle has 3 sides.,NUMERIC
1025,The Olympics were held in Tokyo in 2021.,TEMPORAL
1026,Every square is a rectangle.,LOGICAL
1027,Mount Everest is the tallest mountain.,FACTUAL
1028,A triangle has 3 sides.,NUMERIC
1029,If A>B and B>C then A>C.,LOGICAL
1030,The Olympics were held in Tokyo in 2021.,TEMPORAL
1031,Mount Everest is the tallest mountain.,FACTUAL
1032,A triangle has 3 sides.,NUMERIC
1033,The Olympics were held in Tokyo in 2021.,TEMPORAL
1034,The company was founded in 2010.,TEMPORAL
1035,India became independent in 1947.,TEMPORAL
1036,Paris is the capital of France.,FACTUAL
1037,The Earth is 149.6 million km from the Sun.,NUMERIC
1038,This movie is fantastic.,OPINION
1039,AI is the greatest invention.,OPINION
1040,The Olympics were held in Tokyo in 2021.,TEMPORAL
1041,All mammals are animals.,LOGICAL
1042,This movie is fantastic.,OPINION
1043,All mammals are animals.,LOGICAL
1044,Paris is the capital of France.,FACTUAL
1045,Water freezes at 0°C.,FACTUAL
1046,A triangle has 3 sides.,NUMERIC
1047,All mammals are animals.,LOGICAL
1048,The company was founded in 2010.,TEMPORAL
1049,The company was founded in 2010.,TEMPORAL
1050,Mount Everest is the tallest mountain.,FACTUAL
1051,This movie is fantastic.,OPINION
1052,India became independent in 1947.,TEMPORAL
1053,The Earth is 149.6 million km from the Sun.,NUMERIC
1054,AI is the greatest invention.,OPINION
1055,Paris is the capital of France.,FACTUAL
1056,15 + 27 = 42.,NUMERIC
1057,All mammals are animals.,LOGICAL
1058,The company was founded in 2010.,TEMPORAL
1059,This movie is fantastic.,OPINION
1060,Every square is a rectangle.,LOGICAL
1061,A triangle has 3 sides.,NUMERIC
1062,Paris is the capital of France.,FACTUAL
1063,The Olympics were held in Tokyo in 2021.,TEMPORAL
1064,Every square is a rectangle.,LOGICAL
1065,If A>B and B>C then A>C.,LOGICAL
1066,AI is the greatest invention.,OPINION
1067,The Earth is 149.6 million km from the Sun.,NUMERIC
1068,Water freezes at 0°C.,FACTUAL
1069,Every square is a rectangle.,LOGICAL
1070,This movie is fantastic.,OPINION
1071,A triangle has 3 sides.,NUMERIC
1072,AI is the greatest invention.,OPINION
1073,The Earth is 149.6 million km from the Sun.,NUMERIC
1074,AI is the greatest invention.,OPINION
